modelo;nombre_foto;tipo_jorge
Alcatel 1066G;Alcatel 1066G.jpg;VOZ
Alcatel 2008;Alcatel 2008.jpg;VOZ
Alcatel 2051;Alcatel 2051.jpg;VOZ
Alcatel A3 4G;Alcatel A3 4G.jpg;SPH
Alcatel One Touch Pixi 4 7.0 WiFi;Alcatel One Touch Pixi.jpg;TABLET
Alcatel OT POP 4+ 4G;Alcatel OT POP 4+ 4G.jpg;SPH
Alcatel OT-2038;Alcatel OT-2038.jpg;VOZ
Alcatel Plus 10 4G;Alcatel Plus 10 4G.jpg;TABLET
Amazon Kindle PaperWhite;Amazon Kindle PaperWhite.jpg;TABLET
Asus Gaming Notebook 3;Asus Gaming Notebook 3.jpg;ORDENADORES
BQ Aquaris U 4G;BQ Aquaris U 4G.jpg;SPH
BQ Aquaris U2 4G;BQ Aquaris U2 4G.jpg;SPH
BQ Aquaris Xpro 64GB 4G;BQ Aquaris Xpro 64GB 4G.jpg;SPH
Chromecast;Chromecast.jpg;OTROS
Huawei Band 2 Pro;Huawei Band 2 Pro.jpg;RELOJES_PULSERAS
Huawei Mate 10;Huawei Mate 10.jpg;SPH
Huawei Mate 10+Mpad T3 10;Huawei Mate 10+Mpad T3 10.jpg;BUNDLE
Huawei Mate 9 4G;Huawei Mate 9 4G.jpg;SPH
Huawei Mediapad M2 10 4G;Huawei Mediapad M2 10 4G.jpg;TABLET
Huawei Mediapad T1 10 4G;Huawei Mediapad T1 10 4G.jpg;TABLET
Huawei Mediapad T3 10.0 4G;Huawei Mediapad T3 10.0 4G.jpg;TABLET
Huawei Mediapad T3 8.0 4G;Huawei Mediapad T3 8.0 4G.jpg;TABLET
Huawei P Smart;Huawei P Smart.jpg;SPH
Huawei P10 4G;Huawei P10 4G.jpg;SPH
Huawei P10 Lite 4G;Huawei P10 Lite 4G.jpg;SPH
Huawei P20;Huawei P20.jpg;SPH
Huawei P20 Lite;Huawei P20 Lite.jpg;SPH
Huawei P20 Pro;Huawei P20 Pro.jpg;SPH
Huawei P8 Lite 2017 4G;Huawei P8 Lite 2017 4G.jpg;SPH
Huawei P9 4G;Huawei P9 4G.jpg;SPH
Huawei Watch 2 4G;Huawei Watch 2 4G.jpg;RELOJES_PULSERAS
Huawei Y6 2017 4G;Huawei Y6 2017 4G.jpg;SPH
Huawei Y7 4G;Huawei Y7 4G.jpg;SPH
iPad Pro 12.9 256GB 4G;iPad Pro 12.9 256GB 4G.jpg;TABLET
iPad Pro 128 GB 4G;iPad Pro 128 GB 4G.jpg;TABLET
iPhone 6 32GB 4G;iPhone 6 32GB 4G.jpg;SPH
iPhone 6S 32GB 4G;iPhone 6S 32GB 4G.jpg;SPH
Iphone 7 128GB 4G;Iphone 7 128GB 4G.jpg;SPH
Iphone 7 256GB 4G;Iphone 7 256GB 4G.jpg;SPH
Iphone 7 32GB 4G;Iphone 7 32GB 4G.jpg;SPH
Iphone 7 Plus 128GB 4G;Iphone 7 Plus 128GB 4G.jpg;SPH
Iphone 7 Plus 256GB 4G;Iphone 7 Plus 256GB 4G.jpg;SPH
Iphone 7 Plus 32GB 4G;Iphone 7 Plus 32GB 4G.jpg;SPH
iPhone 8 256GB 4G;iPhone 8 256GB 4G.jpg;SPH
iPhone 8 64GB 4G;iPhone 8 64GB 4G.jpg;SPH
iPhone 8 Plus 256GB 4G;iPhone 8 Plus 256GB 4G.jpg;SPH
iPhone 8 Plus 64GB 4G;iPhone 8 Plus 64GB 4G.jpg;SPH
iPhone SE 128GB 4G;iPhone SE 128GB 4G.jpg;SPH
iPhone SE 32GB 4G;iPhone SE 32GB 4G.jpg;SPH
iPhone SE 64GB 4G;iPhone SE 64GB 4G.jpg;SPH
iPhone X 256GB 4G;iPhone X 256GB 4G.jpg;SPH
iPhone X 64GB 4G;iPhone X 64GB 4G.jpg;SPH
LG G6 4G;LG G6 4G.jpg;SPH
LG K10 2017 4G;LG K10 2017 4G.jpg;SPH
LG K4 2017 4G;LG K4 2017 4G.jpg;SPH
LG K8 2017 4G;LG K8 2017 4G.jpg;SPH
LG Q6 4G;LG Q6 4G.jpg;SPH
"LG Television 28""";214.jpg;TV
"LG Television 32""";313.jpg;TV
"LG Television 43""";437.jpg;TV
"LG Television 49""";660.jpg;TV
"LG Television 55""";"LG Television 55"".jpg";TV
LG V30;LG V30.jpg;SPH
LG V30 + LG Televisor 28 Smart TV;LG V30 + LG Televisor 28 Smart TV.jpg;BUNDLE
Microsoft Xbox One 500GB;Microsoft Xbox One 500GB.jpg;CONSOLAS
Motorola Moto E4 4G;Motorola Moto E4 4G.jpg;SPH
Motorola Moto G 5S;Motorola Moto G 5S.jpg;SPH
Motorola Moto G5S+Lenovo TAB 10.1 WIFI;Motorola Moto G5S+Lenovo TAB 10.1 WIFI.jpg;BUNDLE
Nintendo Classic Mini Nes;Nintendo Classic Mini Nes.jpg;CONSOLAS
Nintendo Switch Hw + juego Zelda;Nintendo Switch Hw + juego Zelda.jpg;CONSOLAS
Nokia 150;Nokia 150.jpg;VOZ
Nokia 3 4G;Nokia 3 4G.jpg;SPH
Orange Cardphone;Orange Cardphone.jpg;VOZ
Orange gafas VR1;Orange gafas VR1.jpg;GAFAS
Orange Gama 100;Orange Gama 100.jpg;FIXED
Orange Gama 202;Orange Gama 202.jpg;FIXED
Orange Gama 203;Orange Gama 203.jpg;FIXED
